4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-0
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_2200|COMPONENT.E18-1
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-1
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_2100|COMPONENT.E18-2
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-2
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_320010|COMPONENT.E18-3
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-3
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_5400|COMPONENT.E18-4
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-4
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_5100|COMPONENT.E18-5
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_2|COMPONENT.E18-5
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|CULTURAL PERIOD.E55|PERIOD_131011311|PHASE TYPE ASSIGNMENT.E17-0
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|PHASE TYPE ASSIGNMENT CERTAINTY TYPE.E55|PHASE_TYPE_ASSIGNMENT_CERTAINTY_2|PHASE TYPE ASSIGNMENT.E17-0
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL HERITAGE (SITE) TYPE.E55|SITE_5000|PHASE TYPE ASSIGNMENT.E17-0
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|SCIENTIFIC DATING METHOD.E55|DATING_2001|SCIENTIFIC DATING EVENT.E5-0
4|ARCHAEOLOGICAL HERITAGE (SITE).E27|SUMMARY.E62||SUMMARY.E62-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|EXTERNAL XREF.E42|161|MONUMENT:5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|EXTERNAL XREF TYPE.E55|EXTERNAL_XREF_TYPE_1000|MONUMENT:5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|EXTERNAL XREF.E42|909|MONUMENT:5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|EXTERNAL XREF TYPE.E55|EXTERNAL_XREF_TYPE_1001|MONUMENT:5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|ADDRESS_TOWN/CITY.E45|Schierstein|ADDRESS-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPILER.E82|FETSCH|COMPILER.E82-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|NAME TYPE.E55|NAME_TYPE_1|NAME.E41-5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|NAME.E41|Schierstein|NAME.E41-5
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|SPATIAL COORDINATES_GEOMETRY.E47|POINT (8.20 50.04)|SPATIAL COORDINATES_GEOMETRY.E47-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|GEOMETRY QUALIFIER.E55|GEOMETRY_QUALIFIER_6002|SPATIAL COORDINATES_GEOMETRY.E47-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|INVESTIGATION TYPE.E55|INVESTIGATION_TYPE_4|INVESTIGATION TYPE.E55-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_2200|COMPONENT.E18-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_1|COMPONENT.E18-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL COMPONENT TYPE.E55|ARCHAEOLOGICAL_COMPONENT_ARCHAEOLOGICAL_COMPONENT_2100|COMPONENT.E18-1
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|COMPONENT CERTAINTY TYPE.E55|COMPONENT_CERTAINTY_1|COMPONENT.E18-1
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|CULTURAL PERIOD.E55|PERIOD_13102131011|PHASE TYPE ASSIGNMENT.E17-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|PHASE TYPE ASSIGNMENT CERTAINTY TYPE.E55|PHASE_TYPE_ASSIGNMENT_CERTAINTY_2|PHASE TYPE ASSIGNMENT.E17-0
5|ARCHAEOLOGICAL HERITAGE (SITE).E27|ARCHAEOLOGICAL HERITAGE (SITE) TYPE.E55|SITE_3001|PHASE TYPE ASSIGNMENT.E17-0
